x_value,channel_1,channel_2,channel_3
670,348,1022,1023
671,663,1023,1023
672,728,1023,1023
673,752,1022,345
674,559,1023,581
675,735,1023,723
676,636,1023,739
677,578,1023,751
678,611,1023,778
679,613,1023,792
680,642,1023,788
681,649,1023,768
682,644,1023,762
683,690,1023,762
684,669,1023,760
685,623,1023,759
686,622,1023,779
687,618,1023,797
688,654,1023,787
689,645,1023,763
690,670,1023,748
691,678,1023,759
692,689,1023,764
693,664,1023,766
694,636,1023,772
695,602,1023,793
696,649,1022,794
697,663,1023,776
698,630,1023,750
699,664,1023,749
700,692,1023,762
701,698,1023,766
702,671,1023,769
703,592,1023,779
704,618,1023,800
705,612,1023,792
706,650,1022,765
707,667,1023,744
708,663,1022,750
709,686,1022,760
710,678,1023,766
711,649,1023,767
712,640,1022,781
713,626,1023,798
714,658,1023,784
715,636,1023,760
716,656,1023,745
717,666,1023,758
718,688,1023,765
719,673,1023,768
720,581,1022,769
721,567,1023,758
722,627,1023,770
723,603,1023,772
724,600,1022,768
725,590,1023,767
726,652,1023,769
727,609,1023,770
728,600,1023,770
729,590,1023,769
730,585,1023,771
731,589,1023,774
732,594,1023,774
733,588,1023,770
734,577,1023,768
735,575,1023,769
736,577,1023,769
737,574,1023,768
738,565,1023,768
739,566,1023,771
740,574,1023,773
741,578,1023,771
742,572,1023,768
743,568,1023,768
744,573,1023,769
745,576,1023,769
746,571,1023,768
747,566,1023,769
748,570,1023,772
749,576,1023,772
750,576,1023,770
751,571,1022,764
752,622,1023,767
753,641,1023,768
754,586,1023,768
755,571,1023,767
756,626,1023,770
757,582,1022,770
758,575,1023,771
759,573,1022,766
760,621,1023,767
761,638,1023,768
762,584,1023,769
763,575,1023,768
764,563,1022,766
765,618,1023,770
766,575,1023,772
767,572,1023,771
768,566,1023,768
769,560,1023,767
770,622,1023,768
771,574,1023,768
772,561,1023,767
773,614,1023,768
774,564,1022,769
775,560,1023,772
776,563,1023,770
777,557,1023,767
778,614,1023,768
779,568,1022,766
780,617,1022,765
781,615,1023,766
782,617,1022,766
783,618,1022,768
784,562,1023,771
785,558,1023,769
786,553,1023,768
787,555,1023,769
788,559,1022,766
789,610,1022,765
790,609,1023,768
791,558,1023,771
792,559,1023,773
793,561,1023,772
794,555,1023,769
795,551,1023,769
796,556,1023,770
797,559,1023,770
798,555,1023,769
799,548,1022,766
800,601,1023,772
801,562,1023,773
802,558,1023,772
803,553,1023,769
804,549,1023,769
805,552,1023,770
806,554,1023,770
807,549,1023,769
808,545,1023,770
809,547,1023,772
810,551,1023,773
811,552,1023,770
812,544,1023,768
813,544,1023,769
814,549,1022,767
815,601,1022,766
816,602,1023,768
817,548,1022,768
818,541,1023,771
819,547,1023,772
820,546,1023,770
821,543,1023,769
822,546,1023,770
823,550,1023,770
824,546,1023,769
825,539,1023,769
826,540,1023,772
827,545,1023,773
828,548,1022,769
829,537,1023,768
830,537,1023,769
831,544,1023,770
832,547,1023,770
833,542,1022,767
834,593,1023,770
835,547,1022,770
836,542,1022,769
837,536,1023,770
838,536,1023,769
839,540,1023,770
840,545,1023,770
841,545,1023,770
842,539,1023,770
843,538,1023,771
844,542,1023,773
845,545,1023,772
846,540,1023,770
847,537,1023,770
848,543,1023,770
849,545,1022,768
850,537,1023,769
851,534,1023,770
852,537,1023,773
853,544,1023,774
854,546,1022,769
855,534,1023,769
856,536,1023,770
857,543,1022,768
858,538,1023,770
859,538,1022,766
860,587,1022,767
861,597,1023,772
862,550,1023,773
863,545,1023,771
864,539,1022,766
865,592,1022,767
866,605,1023,769
867,552,1023,770
868,541,1022,767
869,593,1023,770
870,548,1023,773
871,550,1022,770
872,541,1023,769
873,540,1023,769
874,548,1022,767
875,607,1022,766
876,614,1022,766
877,612,1023,769
878,563,1023,772
879,563,1023,773
880,565,1023,773
881,564,1022,767
882,615,1023,769
883,573,1023,770
884,570,1022,768
885,560,1022,766
886,611,1023,769
887,569,1023,773
888,572,1023,773
889,570,1023,772
890,565,1022,767
891,618,1023,770
892,576,1023,771
893,570,1023,770
894,560,1023,770
895,557,1023,771
896,560,1023,773
897,563,1022,770
898,554,1023,770
899,560,1023,769
900,583,1023,770
901,594,1022,768
902,591,1023,769
903,590,1023,770
904,593,1023,772
905,599,1022,771
906,600,1023,771
907,598,1023,770
908,596,1022,768
909,595,1023,770
910,599,1023,771
911,598,1022,769
912,590,1022,769
913,590,698,683
914,588,607,642
915,561,583,583
916,550,554,558
917,555,555,554
918,548,539,574
919,583,554,556
920,550,548,536
921,557,558,554
922,544,530,559
923,553,543,584
924,545,531,570
925,570,578,547
926,536,575,588
927,556,562,574
928,582,557,563
929,563,574,590
930,560,570,592
931,561,570,594
932,565,579,559
933,550,552,545
934,522,541,572
935,570,581,555
936,548,546,534
937,554,552,538
938,558,562,558
939,550,548,541
940,566,573,585
941,551,554,559
942,551,547,536
943,557,556,548
944,534,568,571
945,572,593,578
946,534,581,554
947,535,580,546
948,521,547,536
949,550,542,574
950,575,593,579
951,538,585,560
952,552,554,552
953,539,577,539
954,559,571,577
955,527,562,570
956,560,566,580
957,533,569,587
958,543,589,575
959,571,596,583
960,541,593,579
961,532,574,596
962,562,574,601
963,572,596,592
964,554,564,579
965,529,561,573
966,565,575,599
967,570,590,580
968,532,573,593
969,555,559,572
970,570,584,557
971,546,543,582
972,535,571,592
973,549,548,549
974,524,544,530
975,535,566,567
976,556,558,563
977,550,545,533
978,546,532,554
979,534,562,564
980,551,550,546
981,516,531,556
982,530,554,550
983,511,570,580
984,493,545,541
985,511,569,573
986,523,548,543
987,522,539,571
988,525,544,534
989,507,564,562
990,503,567,578
991,480,518,544
992,465,529,552
993,477,553,549
994,473,553,544
995,463,537,565
996,506,559,564
997,510,572,586
998,497,558,566
999,509,571,586
1000,496,552,558
1001,494,540,577
